,date,season,neutral,playoff,home_team,away_team,home_elo_prob,away_elo_prob,home_carm-elo_prob,away_carm-elo_prob,home_raptor_prob,away_raptor_prob,home_score,away_score,home_ml,away_ml
72,2007-11-09,2008,0,,POR,MEM,0.6437818844690695,0.3562181155309305,,,,,110.0,98.0,-140,120
73,2007-11-09,2008,0,,DET,LAC,0.7269048138320449,0.2730951861679551,,,,,103.0,79.0,-375,315
74,2007-11-09,2008,0,,SEA,UTA,0.3822952712089836,0.6177047287910165,,,,,101.0,103.0,240,-290
75,2007-11-09,2008,0,,SAC,CLE,0.4437023479734525,0.5562976520265475,,,,,91.0,93.0,205,-245
76,2007-11-09,2008,0,,MIA,PHO,0.4234388071568445,0.5765611928431554,,,,,101.0,106.0,315,-375
77,2007-11-09,2008,0,,NOP,SAS,0.4520689401462483,0.5479310598537517,,,,,85.0,97.0,145,-165
78,2007-11-10,2008,0,,UTA,MEM,0.8409581607936437,0.1590418392063562,,,,,118.0,94.0,-600,475
79,2007-11-10,2008,0,,IND,DEN,0.4705529685713628,0.5294470314286371,,,,,106.0,113.0,105,-125
80,2007-11-10,2008,0,,ORL,PHO,0.5162348554112302,0.4837651445887698,,,,,96.0,106.0,105,-125
81,2007-11-10,2008,0,,SAC,MIN,0.7199008985448505,0.2800991014551495,,,,,100.0,93.0,-200,170
82,2007-11-10,2008,0,,CHI,TOR,0.6843751287907138,0.3156248712092862,,,,,71.0,101.0,-260,220
83,2007-11-10,2008,0,,NJN,BOS,0.7186744366476632,0.2813255633523368,,,,,101.0,112.0,130,-150
84,2007-11-10,2008,0,,POR,DAL,0.3320771796443464,0.6679228203556535,,,,,91.0,82.0,290,-350
85,2007-11-11,2008,0,,PHI,NOP,0.585017597881513,0.414982402118487,,,,,72.0,93.0,130,-150
86,2007-11-11,2008,0,,LAC,CLE,0.6045584522038067,0.3954415477961933,,,,,95.0,103.0,-110,-110
87,2007-11-11,2008,0,,CHO,HOU,0.4415163060475303,0.5584836939524697,,,,,82.0,85.0,235,-275
88,2007-11-11,2008,0,,SEA,DET,0.3140861679307661,0.685913832069234,,,,,103.0,107.0,235,-275
89,2007-11-11,2008,0,,NYK,MIA,0.5917284039186456,0.4082715960813544,,,,,72.0,75.0,-150,130
90,2007-11-11,2008,0,,ATL,WAS,0.6665612533252991,0.3334387466747008,,,,,90.0,101.0,-230,190
91,2007-11-11,2008,0,,SAS,MIL,0.901105243219595,0.098894756780405,,,,,113.0,88.0,-700,550
92,2007-11-12,2008,0,,UTA,SAC,0.8209609550460404,0.1790390449539596,,,,,117.0,93.0,-1700,1050
93,2007-11-12,2008,0,,NJN,NOP,0.5724537200913974,0.4275462799086026,,,,,82.0,84.0,110,-130
94,2007-11-12,2008,0,,DEN,CLE,0.597589830055552,0.402410169944448,,,,,122.0,100.0,-335,285
95,2007-11-13,2008,0,,CHO,MIA,0.6135046032837027,0.3864953967162973,,,,,91.0,76.0,-125,105
96,2007-11-13,2008,0,,IND,BOS,0.5706534670742387,0.4293465329257613,,,,,86.0,101.0,250,-300
97,2007-11-13,2008,0,,ORL,SEA,0.7822609196780491,0.2177390803219508,,,,,103.0,76.0,-650,525
98,2007-11-13,2008,0,,POR,DET,0.3523233833433141,0.6476766166566859,,,,,102.0,94.0,190,-230
99,2007-11-13,2008,0,,MEM,HOU,0.3672261091649544,0.6327738908350455,,,,,105.0,99.0,230,-270
100,2007-11-13,2008,0,,SAS,LAL,0.8305699418051695,0.1694300581948304,,,,,107.0,92.0,-365,305
101,2007-11-13,2008,0,,DAL,PHI,0.820000051903512,0.179999948096488,,,,,99.0,84.0,-800,600
102,2007-11-13,2008,0,,PHO,NYK,0.8620812809166146,0.1379187190833853,,,,,113.0,102.0,-1400,900
